exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,selection_loss,best_lr,best_loss,total_search_flops,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib
uwave-all,ewc,uwave,1,48,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0004731733104692096,0.1,0.0004731733104692096,755491464912042,44691744,6,0,0.29989699134122905,0.12053571428571429,0.9938718662952646,0.9938718662952646,-0.9938718662952646,2,0.9938718662952646,1.0,0.012256267409470745,0.9693593314763231,1.0,1.0,1.0,1.0,"[0.9693593314763231,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9693593314763231,1.0,1.0,1.0,1.0]","[-0.00835654596100277,-0.017857142857142905,-0.06306306306306309,-0.018867924528301883,-0.020000000000000018,0.0]",-0.021357446068251778,512,283.62536868290044,283635.28125,37.89667800301686,245.72869067988358,49.145738135976714,49.97984315396752,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.05500826578749444,1128.6962890625
uwave-all,ewc,uwave,1,48,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0021181156986549627,0.1,0.0004731733104692096,755491464912042,44691744,6,0,0.3003612438946181,0.12053571428571429,0.9944289693593316,0.9944289693593316,-0.9944289693593316,2,0.9944289693593316,1.0,0.011142061281337054,0.9721448467966574,1.0,1.0,1.0,1.0,"[0.9721448467966574,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9721448467966574,1.0,1.0,1.0,1.0]",,,512,279.1199878799962,279130.921875,37.00673145591281,242.11325642408337,48.42265128481667,49.34166182600893,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.040268727778831295,1133.21240234375
uwave-all,ewc,uwave,1,48,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.003160948791969732,0.1,0.0004731733104692096,755491464912042,44691744,6,0,0.3017540015547852,0.12053571428571429,0.9961002785515319,0.9961002785515319,-0.9961002785515319,2,0.9961002785515319,1.0,0.0077994428969359484,0.9805013927576601,1.0,1.0,1.0,1.0,"[0.9805013927576601,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9805013927576601,1.0,1.0,1.0,1.0]",,,512,275.49354769918136,275503.5078125,36.893438663100824,238.60010903608054,47.720021807216106,48.88817018503323,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.038165838044993246,1133.21240234375
uwave-all,ewc,uwave,1,50,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.01283285784971925,0.01,0.002123505395808282,755491464912042,44691744,6,0,0.30082549644800716,0.12053571428571429,0.9949860724233982,0.9949860724233982,-0.9949860724233982,2,0.9949860724233982,1.0,0.010027855153203325,0.9749303621169917,1.0,1.0,1.0,1.0,"[0.9749303621169917,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9749303621169917,1.0,1.0,1.0,1.0]",,,512,270.5334740158869,270543.67578125,36.101294854073785,234.4321791618131,46.88643583236262,47.717283064033836,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03839650552046286,1133.21240234375
uwave-all,ewc,uwave,1,50,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0034985992155013093,0.01,0.002123505395808282,755491464912042,44691744,6,0,0.29729282467456236,0.10491071428571429,0.8855087862340714,0.8855087862340714,-0.8855087862340714,2,0.8855087862340714,0.9716981132075472,0.19994738596771214,0.4864864864864865,0.9693593314763231,1.0,1.0,1.0,"[0.9693593314763231,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.10491071428571429]","[0.9693593314763231,1.0,0.4864864864864865,0.9716981132075472,1.0]",,,512,266.22312447603326,266233.07421875,35.25035404507071,230.97277043096256,46.19455408619251,47.26039144897368,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.04259895104041789,1133.21240234375
uwave-all,ewc,uwave,1,50,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.002123505395808282,0.01,0.002123505395808282,755491464912042,44691744,6,0,0.3012897490013962,0.12053571428571429,0.9955431754874653,0.9955431754874653,-0.9955431754874653,2,0.9955431754874653,1.0,0.008913649025069637,0.9777158774373259,1.0,1.0,1.0,1.0,"[0.9777158774373259,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9777158774373259,1.0,1.0,1.0,1.0]","[0.01114206128133699,0.0,-0.07207207207207211,-0.018867924528301883,0.0,0.0]",-0.013299655886506168,512,263.67824175104033,263687.646484375,34.68255548004527,228.99568627099507,45.79913725419901,46.51695312303491,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.034309163830974806,1133.21240234375
uwave-all,ewc,uwave,1,52,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.010025308582832855,0.01,0.0016938068075167362,755491464912042,44691744,6,0,0.29850423368106194,0.12053571428571429,0.9922005571030642,0.9922005571030642,-0.9922005571030642,2,0.9922005571030642,1.0,0.015598885793871852,0.9610027855153204,1.0,1.0,1.0,1.0,"[0.9610027855153204,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9610027855153204,1.0,1.0,1.0,1.0]",,,512,261.96089215937536,261969.9609375,34.624396547093056,227.3364956122823,45.46729912245646,46.012584868003614,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.038444345851270816,1133.21240234375
uwave-all,ewc,uwave,1,52,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0027087712454387045,0.01,0.0016938068075167362,755491464912042,44691744,6,0,0.2998557506321716,0.12053571428571429,0.9933147632311978,0.9933147632311978,-0.9933147632311978,2,0.9933147632311978,1.0,0.013370473537604479,0.9665738161559888,1.0,1.0,1.0,1.0,"[0.9665738161559888,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12944162436548223,0.12053571428571429]","[0.9665738161559888,1.0,1.0,1.0,1.0]",,,512,264.2224202968646,264231.8125,34.51022314094007,229.7121971559245,45.9424394311849,46.51233910396695,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.036181339445257824,1133.21240234375
uwave-all,ewc,uwave,1,52,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0016938068075167362,0.01,0.0016938068075167362,755491464912042,44691744,6,0,0.3012897490013962,0.12053571428571429,0.9955431754874653,0.9955431754874653,-0.9955431754874653,2,0.9955431754874653,1.0,0.008913649025069637,0.9777158774373259,1.0,1.0,1.0,1.0,"[0.9777158774373259,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12053571428571429]","[0.9777158774373259,1.0,1.0,1.0,1.0]","[0.0,0.0,-0.05405405405405406,-0.009433962264150941,-0.010000000000000009,0.0]",-0.012248002719700835,512,264.75223903008737,264761.3515625,34.68885723606218,230.0633817940252,46.01267635880504,46.594879986019805,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03637971648069132,1133.21240234375
uwave-all,ewc,uwave,1,54,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.0035302609914040143,0.05,0.0004761166480654208,755491464912042,44691744,6,0,0.30184933913271333,0.12946428571428573,0.980014554944917,0.980014554944917,-0.980014554944917,2,0.980014554944917,1.0,0.02818937055875831,0.9279279279279279,0.9721448467966574,1.0,1.0,1.0,"[0.9721448467966574,0.23779193205944799,0.19072164948453607,0.15406976744186046,0.12690355329949238,0.12946428571428573]","[0.9721448467966574,1.0,0.9279279279279279,1.0,1.0]",,,512,263.70203021808993,263711.3203125,34.583875654032454,229.11815456405748,45.823630912811495,46.386480157030746,40145038106.07476,251830488304014,239860828483358,11969659820656,1113554952,44691744,0,0,581031240,625722984,596.7359390258789,0.03628202141823879,1133.21240234375
