exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc
texture-all-4,icarl,texture,1,54,resnet18_cifar,0.1,4,0.026307496118048827,92.94522420398425,93705.953125,460036583692.5639,5483635450898204,5483635450898204,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.40522962911685073,10091.138671875,0.4696969696969697,0.12698412698412698,0.8076923076923077,0.9830508474576272
texture-all-4,icarl,texture,1,55,resnet18_cifar,0.1,4,0.015154023841023444,92.87964828498662,93643.1640625,460036583692.5639,5483635450898204,5483635450898204,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.40446038328809664,10091.138671875,0.3333333333333333,0.5396825396825397,0.8653846153846154,0.9830508474576272
texture-all-4,icarl,texture,1,56,resnet18_cifar,0.1,4,0.014950636168941855,93.10776120399532,93868.84375,460036583692.5639,5483635450898204,5483635450898204,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4051090832945192,10091.138671875,0.9696969696969697,0.30158730158730157,0.8461538461538461,1.0
texture-all-4,icarl,texture,2,52,resnet18_cifar,0.1,4,0.05712602424124877,95.10788165101258,95950.015625,460036511146.28705,5525038338422924,5525038338422924,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4029221999492923,10091.3701171875,0.8518518518518519,1.0,0.9375,0.10714285714285714
texture-all-4,icarl,texture,2,53,resnet18_cifar,0.1,4,0.012854673930754264,94.53171180101344,95295.8203125,460036511146.28705,5525038338422924,5525038338422924,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.40166756237643614,10091.3701171875,0.9629629629629629,0.07575757575757576,0.859375,0.875
texture-all-4,icarl,texture,2,54,resnet18_cifar,0.1,4,0.0959911609068513,95.09213436899881,95856.8359375,460036511146.28705,5525038338422924,5525038338422924,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4017832499812357,10091.3701171875,0.8888888888888888,0.3939393939393939,0.984375,0.6607142857142857
texture-all-4,icarl,texture,2,55,resnet18_cifar,0.1,4,0.09218360558152199,94.80806635100453,95571.15625,460036511146.28705,5525038338422924,5525038338422924,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4020108250188059,10091.3701171875,0.9814814814814815,0.18181818181818182,0.640625,0.9464285714285714
texture-all-4,icarl,texture,2,56,resnet18_cifar,0.1,4,0.01135748076873521,94.75561998599733,95516.703125,460036511146.28705,5525038338422924,5525038338422924,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.40534820000175387,10091.3701171875,0.9629629629629629,0.45454545454545453,1.0,0.9821428571428571
texture-all-4,icarl,texture,3,52,resnet18_cifar,0.1,4,0.006835048040375114,94.33972474098846,95111.2734375,460036527550.81165,5529638662156084,5529638662156084,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.406247120918124,10091.70751953125,0.9508196721311475,0.3157894736842105,1.0,0.9365079365079365
texture-all-4,icarl,texture,3,53,resnet18_cifar,0.05,4,0.0007573828896662841,94.9223578950041,95692.828125,460036527550.81165,5529638662156084,5529638662156084,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4064135625109581,10091.70751953125,1.0,0.8947368421052632,0.6101694915254238,1.0
