exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
texture-all,tagfex,texture,1,53,resnet18_cifar,0.05,10,0.00268083744449541,263.6571201750485,265919.6875,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4240606706540954,10090.97607421875,1.0,1.0,1.0,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0
texture-all,tagfex,texture,1,54,resnet18_cifar,0.01,10,0.012432208471000194,260.65721105996636,262904.90625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42447225823707413,10090.97607421875,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
texture-all,tagfex,texture,1,55,resnet18_cifar,0.01,10,0.008835033358385166,255.86727406806313,258109.765625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.424830741394544,10090.97607421875,1.0,1.0,1.0,0.09523809523809523,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,tagfex,texture,1,56,resnet18_cifar,0.05,10,0.0012392712233122438,265.5553186170582,267925.4375,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4248829586382878,10090.97607421875,0.9393939393939394,1.0,0.9411764705882353,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,tagfex,texture,2,52,resnet18_cifar,0.05,10,0.011572944609603534,270.8270383279596,273110.875,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42486860414404265,10091.48779296875,0.9814814814814815,1.0,1.0,1.0,1.0,1.0,0.6956521739130435,1.0,0.9047619047619048,1.0
texture-all,tagfex,texture,2,53,resnet18_cifar,0.05,10,0.0031483288388699294,270.1161168499675,272391.5625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4269300249385803,10091.48779296875,1.0,0.8,1.0,1.0,1.0,1.0,0.391304347826087,0.7647058823529411,1.0,1.0
texture-all,tagfex,texture,2,54,resnet18_cifar,0.05,10,0.014473827423838277,265.57803096610587,267852.15625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4239833581474765,10091.48779296875,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.47619047619047616,1.0
texture-all,tagfex,texture,2,55,resnet18_cifar,0.01,10,0.013982269633561372,257.2982519429934,259529.140625,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4243015751853818,10091.48779296875,1.0,1.0,1.0,0.9545454545454546,1.0,0.3888888888888889,1.0,0.0,0.6190476190476191,1.0
texture-all,tagfex,texture,2,56,resnet18_cifar,0.05,10,0.0013859759589346747,266.5273907650262,268944.46875,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4248783374350751,10091.48779296875,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
texture-all,tagfex,texture,3,52,resnet18_cifar,0.05,10,0.0014814594585914164,254.40382842099643,256623.6875,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42643217918036197,10091.52880859375,1.0,1.0,0.0,1.0,1.0,0.8888888888888888,0.9130434782608695,1.0,1.0,1.0
texture-all,tagfex,texture,3,53,resnet18_cifar,0.05,10,0.00822936553352823,249.20908067698474,251360.5,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42594796674772323,10091.52880859375,1.0,1.0,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.8,1.0
texture-all,tagfex,texture,3,54,resnet18_cifar,0.05,10,0.00624614378126959,248.8283938319364,251010.65625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42617019995911204,10091.52880859375,1.0,1.0,0.0,1.0,1.0,1.0,0.7391304347826086,1.0,0.92,1.0
