exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc,task_11_acc,task_12_acc,task_13_acc,task_14_acc,task_15_acc,task_16_acc,task_17_acc,task_18_acc
spike-all,ewc,spike,1,63,resnet18_cifar,0.05,18,0.16525585845034105,1145.223190136021,1151070.125,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2955764506991372,7506.158203125,0.9487179487179487,0.8461538461538461,0.925,0.8461538461538461,1.0,0.95,1.0,0.9743589743589743,0.9230769230769231,1.0,0.9487179487179487,0.4358974358974359,0.9230769230769231,0.6923076923076923,0.5641025641025641,0.9473684210526315,0.9743589743589743,0.9230769230769231
spike-all,ewc,spike,1,65,resnet18_cifar,0.05,18,0.1811823775195009,1186.7813633079859,1192923.25,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29399520488755204,7506.158203125,0.8461538461538461,0.5128205128205128,1.0,1.0,0.717948717948718,0.95,0.9487179487179487,0.9743589743589743,0.9487179487179487,0.9743589743589743,0.6923076923076923,0.8717948717948718,0.9487179487179487,0.9743589743589743,0.7948717948717948,0.9736842105263158,0.9743589743589743,0.9743589743589743
spike-all,ewc,spike,1,67,resnet18_cifar,0.05,18,0.1655325217044624,1200.3520364020005,1205920.875,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2949442509682515,7506.158203125,0.9230769230769231,1.0,0.95,1.0,0.8974358974358975,1.0,0.9743589743589743,1.0,0.8717948717948718,0.9487179487179487,0.9230769230769231,1.0,1.0,0.5897435897435898,0.6410256410256411,0.8157894736842105,1.0,0.9487179487179487
spike-all,ewc,spike,1,69,resnet18_cifar,0.1,18,0.20456342111651518,1201.2222915449966,1206827.25,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2949286799065658,7506.158203125,0.8803418803418803,1.0,0.9,0.9230769230769231,0.9743589743589743,1.0,0.9743589743589743,1.0,0.7692307692307693,1.0,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9487179487179487,0.6666666666666666,0.9210526315789473,0.9230769230769231,0.8461538461538461
spike-all,ewc,spike,1,71,resnet18_cifar,0.01,18,0.16331233384632182,1220.430287227995,1226865.75,1504668889172.6165,55674419703973566,55674419703973566,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29535560178759457,7506.158203125,0.9914529914529915,0.8461538461538461,0.925,0.9487179487179487,0.9743589743589743,1.0,0.9743589743589743,1.0,0.9487179487179487,1.0,0.8717948717948718,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.8205128205128205,0.7368421052631579,1.0,0.8461538461538461
spike-all,ewc,spike,2,63,resnet18_cifar,0.1,18,0.19455569645065296,1131.2873977499985,1137241.375,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2939427772156922,7506.890625,0.9655172413793104,1.0,0.975,1.0,0.9230769230769231,0.7692307692307693,1.0,0.9487179487179487,0.9743589743589743,0.8974358974358975,0.8717948717948718,0.7692307692307693,0.7692307692307693,0.8205128205128205,0.7948717948717948,0.8717948717948718,0.9743589743589743,0.9230769230769231
spike-all,ewc,spike,2,65,resnet18_cifar,0.05,18,0.17750756619842425,1116.4059117080033,1121898.125,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2948894110416144,7506.890625,0.9137931034482759,0.717948717948718,1.0,1.0,0.9743589743589743,0.7435897435897436,0.95,1.0,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.7435897435897436,0.9230769230769231,0.7948717948717948,1.0,0.7435897435897436,0.4358974358974359,0.4358974358974359
spike-all,ewc,spike,2,67,resnet18_cifar,0.1,18,0.24214603423924133,1129.6875954370116,1135594.125,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29430232905808396,7506.890625,0.9224137931034483,0.8461538461538461,1.0,1.0,1.0,0.9743589743589743,0.95,0.9743589743589743,0.8717948717948718,0.9487179487179487,0.9743589743589743,0.6153846153846154,0.9487179487179487,0.8974358974358975,0.9230769230769231,0.7948717948717948,0.9743589743589743,0.5897435897435898
spike-all,ewc,spike,2,69,resnet18_cifar,0.05,18,0.17489020175984202,1149.6448111439968,1155571.75,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.2952130396925533,7506.890625,0.9310344827586207,1.0,1.0,1.0,1.0,0.8461538461538461,1.0,1.0,0.7948717948717948,0.8717948717948718,0.9743589743589743,0.8205128205128205,0.9743589743589743,0.9487179487179487,0.8974358974358975,0.8974358974358975,0.9743589743589743,0.7692307692307693
spike-all,ewc,spike,2,71,resnet18_cifar,0.05,18,0.1410042852459579,1147.6173492980088,1154422.0,1504668875170.2715,55701169026737646,55701169026737646,0,27838714900,44716368,38560,44716368,89471296,85.32647705078125,0.29490297825240247,7506.890625,0.9310344827586207,1.0,1.0,0.9487179487179487,0.8974358974358975,0.8717948717948718,0.925,0.9743589743589743,0.7692307692307693,0.8974358974358975,0.9487179487179487,0.6923076923076923,1.0,0.9487179487179487,0.9743589743589743,0.8717948717948718,0.9743589743589743,0.8205128205128205
